id,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,1,1,0,0,1,0,2,2,2,2,2,0,2,0,1,56.05,0,0
1,0,0,1,1,0,1,0,0,2,2,2,0,2,2,2,0,3,80.85,0,0
2,0,0,1,1,0,1,2,0,0,2,2,2,2,0,2,0,3,73.35,0,0
3,0,0,1,1,0,1,0,2,1,1,1,1,1,1,2,0,3,20.0,0,0
4,1,0,1,1,0,1,0,2,1,1,1,1,1,1,1,1,3,19.7,0,0
5,1,0,1,1,0,1,2,2,1,1,1,1,1,1,2,0,3,25.35,0,0
6,1,0,0,1,0,1,0,2,1,1,1,1,1,1,2,0,3,20.25,0,0
7,1,0,0,1,0,1,2,0,2,2,0,2,0,0,2,1,0,61.9,0,0
8,1,0,1,1,0,1,0,2,1,1,1,1,1,1,2,0,3,19.85,0,0
9,0,0,1,1,0,0,1,0,2,0,2,2,2,0,2,1,0,52.55,0,0
10,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.4,994,1
11,0,1,1,1,23,1,0,1,0,2,2,0,0,2,0,1,0,88.45,1080,0
12,1,1,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,76.45,2776,1
13,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,80.8,2872,1
14,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.85,911,0
15,0,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.2,2838,1
16,0,0,1,1,1,0,1,0,0,0,0,2,2,0,0,0,2,40.1,1839,1
17,1,0,0,1,27,1,2,2,1,1,1,1,1,1,2,1,1,25.85,2831,0
18,1,0,1,0,62,1,2,2,1,1,1,1,1,1,1,1,1,23.75,489,0
19,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,1,2,29.85,1486,0
20,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,74.5,2727,1
21,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3,69.9,2611,1
22,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,909,0
23,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.1,988,1
24,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,2,25.3,1323,1
25,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,19.95,913,0
26,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,2,50.45,2176,1
27,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,69.95,2612,1
28,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,987,0
29,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,68.5,2578,1
30,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.6,998,1
31,1,0,0,1,1,1,2,0,0,0,0,0,0,0,0,1,2,50.05,2172,0
32,1,0,0,0,38,1,0,1,0,0,0,0,0,0,1,1,0,70.45,1375,1
33,1,0,0,0,66,1,2,0,2,2,2,2,0,0,2,0,0,68.75,1988,0
34,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,2,76.0,2772,1
35,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.15,989,1
36,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,20.55,997,1
37,0,0,1,0,18,1,2,1,0,0,0,2,2,0,0,1,2,88.85,635,0
38,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,80.25,2868,1
39,0,1,1,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.85,1003,1
40,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,2,35.0,1695,0
41,1,0,1,0,44,1,0,1,0,0,0,0,2,2,1,1,0,90.65,1833,0
42,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.1,1319,1
43,1,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,3,19.2,899,0
44,1,0,0,1,2,1,0,2,1,1,1,1,1,1,0,0,3,20.4,1915,0
45,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,20.25,991,0
46,0,0,0,0,12,1,0,1,0,0,0,0,0,2,0,0,0,78.1,3098,1
47,0,0,1,1,54,1,2,0,2,0,0,2,0,0,2,0,0,60.0,1616,0
48,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,19.45,903,0
49,1,0,1,1,1,1,0,2,1,1,1,1,1,1,0,1,0,20.15,989,0
50,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,79.55,2843,1
51,1,0,0,0,1,1,2,0,2,2,0,0,0,0,0,0,2,61.15,2451,0
52,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,2,74.9,2730,1
53,0,0,0,0,45,1,2,0,2,0,0,2,0,2,2,0,3,73.55,1644,0
54,1,1,1,0,72,1,2,1,0,2,0,0,2,2,1,1,1,97.25,2678,0
55,0,0,0,0,1,1,0,0,0,0,2,2,2,2,1,0,1,74.1,2720,0
56,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.1,897,1
57,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.65,907,0
58,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,75.7,2755,1
59,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.45,903,1
60,0,0,0,0,30,1,0,0,2,0,0,0,0,0,0,1,3,48.8,575,0
61,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.1,3009,1
62,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,20.75,1001,0
63,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,25.15,1320,0
64,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,25.2,1321,1
65,1,0,1,0,38,1,2,1,2,0,0,0,2,0,0,0,0,91.7,1687,0
66,0,0,0,0,1,1,0,1,0,0,0,0,2,2,0,0,2,90.6,3032,1
67,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,20.7,1000,0
68,0,0,0,1,1,1,0,0,2,2,0,2,0,0,0,1,2,60.0,2425,1
69,1,1,0,1,1,1,0,0,0,0,2,0,0,0,0,1,3,50.15,2174,1
70,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,24.4,1263,0
71,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,71.0,2660,1
72,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,34.7,1656,1
73,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,1,3,20.5,996,1
74,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.35,2007,0
75,1,0,0,1,1,1,2,1,0,0,2,0,2,2,0,1,2,99.75,3155,1
76,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,50.55,2178,1
77,1,0,1,1,38,1,2,2,1,1,1,1,1,1,2,0,1,25.05,3127,0
78,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,44.4,1971,1
79,1,0,0,0,1,1,2,2,1,1,1,1,1,1,0,1,3,24.05,1260,1
80,1,0,1,1,72,1,2,0,2,0,2,2,2,2,2,1,1,83.55,2449,0
81,0,0,1,0,7,1,2,1,0,0,0,0,2,0,0,1,2,86.5,2393,1
82,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,18.8,810,0
83,1,0,0,0,1,1,2,0,0,0,0,0,2,0,0,1,2,59.85,2408,1
84,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,45.3,2006,1
85,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.05,896,0
86,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.5,904,1
87,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,2,48.95,2109,1
88,0,1,0,0,27,1,2,1,2,2,2,0,2,2,1,1,0,110.5,1471,0
89,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,24.25,1262,1
90,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,25.05,1318,1
91,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,69.95,2612,0
92,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.3,992,0
93,1,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,3,48.75,2108,0
94,0,0,0,0,1,1,0,1,0,2,2,0,0,0,0,1,2,82.3,2904,1
95,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.65,2607,1
96,1,0,0,0,46,0,1,0,2,0,2,2,2,2,2,1,0,60.75,1483,0
97,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.6,2606,1
98,1,1,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,79.1,2836,1
99,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,0,3,85.8,2961,1
100,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,70.5,2636,1
101,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,51.25,2205,0
102,0,0,1,1,34,1,0,2,1,1,1,1,1,1,1,1,0,20.1,2586,0
103,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.15,2629,1
104,0,1,1,0,72,1,2,0,2,2,2,2,2,2,2,1,0,89.85,2558,0
105,0,0,1,0,72,1,2,0,2,2,2,2,2,2,2,1,2,92.4,2573,0
106,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.5,904,0
107,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,25.8,1328,1
108,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.75,909,0
109,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,1,20.3,992,0
110,0,0,0,0,1,1,0,1,0,0,2,0,2,0,0,1,2,85.45,2957,1
111,0,0,0,1,3,1,0,0,2,0,0,2,0,2,0,1,0,64.5,782,0
112,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.25,991,1
113,0,0,0,0,2,1,0,1,0,0,0,0,2,0,0,1,2,80.2,500,1
114,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.65,2607,1
115,1,0,1,0,63,1,2,1,2,0,0,2,0,0,2,1,1,84.65,2277,0
116,0,1,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.3,3012,1
117,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,987,0
118,0,0,0,0,20,1,0,2,1,1,1,1,1,1,0,1,0,19.5,1883,0
119,1,1,0,0,1,1,2,1,0,0,2,0,2,0,0,1,2,88.8,3004,1
120,1,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,74.0,2719,0
121,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.25,991,0
122,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,3,49.9,2146,0
123,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,68.65,2579,1
124,0,0,1,1,72,1,2,0,2,2,0,2,2,0,2,0,3,74.55,2292,0
125,0,0,1,1,23,1,2,0,2,0,2,2,2,0,2,1,0,77.15,774,0
126,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,43.8,1938,0
127,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,56.25,2342,1
128,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.75,909,1
129,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,50.15,2174,0
130,1,0,1,1,1,1,0,1,0,2,0,0,0,0,0,0,1,74.6,2728,0
131,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,3,70.45,2635,1
132,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,2,19.85,911,1
133,1,1,1,0,30,1,2,1,2,2,2,2,2,0,0,1,0,105.7,1585,0
134,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,49.9,2146,0
135,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,20.65,999,0
136,1,1,0,0,1,1,2,1,0,0,0,0,2,2,0,1,2,94.0,3088,1
137,0,0,0,0,35,1,2,1,2,2,2,2,2,2,2,1,3,113.2,1819,0
138,0,0,1,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.65,999,0
139,0,0,0,0,71,1,2,1,0,2,2,2,2,2,2,1,2,111.25,2863,0
140,1,0,0,0,39,1,0,1,2,0,2,0,2,2,2,1,2,100.45,1782,0
141,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.55,905,1
142,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,0,1,19.85,911,0
143,1,0,0,0,13,1,0,2,1,1,1,1,1,1,2,0,1,20.0,1418,0
144,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,3,53.55,2260,1
145,1,0,0,0,1,1,0,1,0,0,0,0,2,0,0,1,2,78.95,2817,1
146,1,0,0,0,1,1,2,0,0,2,0,2,0,0,0,0,3,60.1,2426,1
147,1,0,0,0,19,1,0,0,0,2,0,2,0,2,1,1,0,65.35,253,0
148,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.3,2632,1
149,1,0,1,0,1,0,1,0,0,0,2,0,2,2,0,1,2,50.35,2175,1
150,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,912,1
151,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,19.3,901,1
152,0,0,0,0,40,1,2,1,0,0,2,2,2,2,1,1,1,105.95,1946,0
153,1,1,1,0,71,1,2,2,1,1,1,1,1,1,2,0,0,24.85,919,0
154,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,2,52.2,2225,1
155,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,3,49.65,2142,1
156,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.25,991,1
157,0,1,1,0,26,1,0,0,0,0,2,0,0,2,1,0,3,60.7,637,0
158,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,2,20.0,986,0
159,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.15,2599,1
160,1,0,1,1,14,1,0,0,2,2,0,0,0,2,2,1,0,61.4,2895,0
161,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,3,20.2,990,1
162,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.8,1002,0
163,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.4,1971,1
164,1,0,1,1,70,1,2,1,2,2,0,0,2,0,0,1,1,97.55,2550,0
165,1,0,0,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.3,901,0
166,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,44.55,1973,0
167,0,0,0,0,1,1,2,1,0,0,0,0,0,2,0,1,2,85.0,2953,1
168,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,1,2,35.75,1701,1
169,1,0,0,0,41,1,0,1,0,2,0,2,2,0,1,1,2,89.55,1762,0
170,1,0,1,0,1,1,0,0,2,0,2,0,0,0,0,0,3,55.7,2317,0
171,0,0,0,0,21,1,0,1,0,0,0,0,0,0,0,1,2,68.65,528,0
172,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,0,19.9,912,0
173,1,0,0,0,27,1,0,2,1,1,1,1,1,1,2,0,1,19.85,2079,0
174,0,0,1,0,72,1,2,1,2,2,2,2,2,2,2,1,1,117.15,2964,0
175,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,2,74.7,2729,1
176,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,3,75.3,2749,1
177,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,1,3,19.0,895,0
178,0,1,0,0,1,1,2,1,0,0,0,0,2,0,0,1,2,85.7,2960,1
179,0,0,1,0,1,1,0,2,1,1,1,1,1,1,0,1,0,20.3,992,0
180,0,0,0,0,13,1,0,1,0,2,2,0,0,0,0,1,2,81.15,3111,1
181,0,0,0,0,1,1,0,1,0,0,0,0,0,2,0,1,2,81.1,2883,1
182,0,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,3,20.55,997,1
183,1,0,0,1,32,1,2,0,0,2,2,2,2,2,1,0,1,83.7,1393,0
184,0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,1,3,79.55,2843,1
185,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.6,2010,1
186,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.55,3014,1
187,0,0,0,0,60,1,0,2,1,1,1,1,1,1,2,0,3,20.6,108,0
188,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,1,3,74.6,2728,1
189,1,0,0,0,1,1,0,0,2,0,0,2,0,0,0,1,2,53.95,2261,1
190,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,3,55.7,2317,1
191,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.05,987,0
192,0,1,1,1,62,1,2,1,0,2,2,0,0,2,0,1,1,96.1,2433,0
193,1,0,1,1,67,1,0,0,2,2,0,2,0,0,1,0,3,60.05,1838,0
194,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.6,2010,0
195,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,24.75,1267,1
196,1,0,0,0,1,1,0,1,0,0,0,0,2,2,0,1,2,89.9,3016,1
197,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.65,907,0
198,0,0,0,0,71,1,2,1,2,2,2,0,2,2,2,1,1,106.75,2697,0
199,0,1,0,0,59,1,2,1,0,0,2,0,2,2,1,1,2,99.5,2403,0
200,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.35,2602,1
201,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.65,907,1
202,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,49.0,2137,0
203,1,0,1,1,1,1,0,2,1,1,1,1,1,1,0,0,0,19.95,913,1
204,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,2,48.6,2107,0
205,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,21.1,1068,0
206,0,0,0,0,1,1,0,1,0,2,0,0,2,0,0,0,2,84.3,2939,1
207,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,49.75,2143,0
208,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.1,2628,1
209,0,0,1,0,4,1,0,2,1,1,1,1,1,1,1,0,0,20.5,2835,0
210,1,0,0,0,1,1,0,2,1,1,1,1,1,1,0,1,1,19.75,909,0
211,1,0,1,0,56,0,1,0,0,0,2,2,2,2,1,1,0,54.05,1506,0
212,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,19.9,912,0
213,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.35,2633,0
214,0,0,0,0,18,1,2,1,0,0,0,0,0,0,0,1,2,74.15,372,0
215,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,3,20.9,1004,1
216,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.85,2610,1
217,1,0,1,0,14,1,0,0,0,0,0,2,0,0,0,0,0,48.8,2547,0
218,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,2,35.55,1700,1
219,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1,3,50.45,2176,1
220,0,0,0,0,1,1,0,2,1,1,1,1,1,1,0,0,2,18.85,811,0
221,1,0,0,0,16,1,2,1,0,2,0,0,0,0,0,1,3,80.55,270,0
222,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,44.75,1977,0
223,1,0,1,1,1,1,0,2,1,1,1,1,1,1,1,0,3,19.65,907,0
224,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.2,2600,1
225,1,0,1,1,12,1,2,2,1,1,1,1,1,1,2,1,0,25.4,1568,0
226,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,70.25,2631,1
227,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,48.6,2107,1
228,1,0,1,0,1,1,0,1,0,0,0,0,2,0,0,1,2,80.55,2871,1
229,1,0,1,0,1,1,0,1,0,0,2,0,0,0,0,0,2,76.2,2773,1
230,0,0,1,1,56,1,2,0,2,2,0,0,0,2,1,0,0,68.75,1785,0
231,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,2,69.2,2600,1
